--- Courses with invalid hours (NULL or 0) ---
Found 332 unschedulable courses:
  [VWL108] Bilimsel Çalışma Yöntemleri: T=0, U=0, L=0
  [VWL110] Bilgisayar Programlaması ve Kullanımına Giriş: T=0, U=0, L=0
  [VWL112] Toplum Bilimine Giriş: T=0, U=0, L=0
  [VWL182] İktisada Giriş: T=0, U=0, L=0
  [VWL191] İktisada Giriş I: T=0, U=0, L=0
  [VWL192] İktisada Giriş II: T=0, U=0, L=0
  [VWL201] Mikro İktisat: T=0, U=0, L=0
  [VWL202] Makro İktisat: T=0, U=0, L=0
  [VWL203] İktisadi Tarih: T=0, U=0, L=0
  [VWL204] Oyun Teorisi: T=0, U=0, L=0
  [VWL205] Ekonometri I: T=0, U=0, L=0
  [VWL206] Ekonometri II: T=0, U=0, L=0
  [VWL208] Çevre ve Doğal Kaynaklar İktisadı: T=0, U=0, L=0
  [VWL210] Para, Banka ve Finans Piyasaları: T=0, U=0, L=0
  [VWL281] Mikroiktisat: T=0, U=0, L=0
  [VWL282] Makroiktisat: T=0, U=0, L=0
  [VWL301] Uluslararası İktisat I: T=0, U=0, L=0
  [VWL303] Kamu Maliyesi ve Kamu İktisadı: T=0, U=0, L=0
  [VWL304] İktisadi Düşünceler Tarihi: T=0, U=0, L=0
  [VWL306] İktisadi Büyüme ve Kalkınma: T=0, U=0, L=0
  [VWL308] Sanayi ve Yenilik İktisadı: T=0, U=0, L=0
  [VWL310] Seminer: T=0, U=0, L=0
  [VWL423] Staj: T=0, U=0, L=0
  [VWLSD5] Seçimlik Ders I: T=0, U=0, L=0
  [VWLSD6] Seçimlik Ders: T=0, U=0, L=0
  [VWLSD7] Seçimlik Ders VII: T=0, U=0, L=0
  [WIN299] Temel Staj: T=0, U=0, L=0
  [WIN490] İşletmede Mesleki Eğitim: T=0, U=0, L=0
  [WIN499] Mesleki Alan Stajı: T=0, U=0, L=0
  [ZSD] Zorunlu Seçmeli Ders Alanı: T=0, U=0, L=0
  [ZSD I] Zorunlu Seçmeli Ders I: T=0, U=0, L=0
  [ZSD I] Elective I / Zorunlu Seçmeli Ders I: T=0, U=0, L=0
  [ZSD II] Zorunlu Seçmeli Ders II: T=0, U=0, L=0
  [ZSD II] Elective II / Zorunlu Seçmeli Ders II: T=0, U=0, L=0
  [ZSD III] Zorunlu Seçmeli Ders III: T=0, U=0, L=0
  [ZSD III] Elective III / Zorunlu Seçmeli Ders III: T=0, U=0, L=0
  [ZSD IV] Zorunlu Seçmeli Ders IV: T=0, U=0, L=0
  [ZSD V] Zorunlu Seçmeli Ders V: T=0, U=0, L=0
  [ZSDI] Zorunlu Seçmeli Alan I: T=0, U=0, L=0
  [ZSDII] Zorunlu Seçmeli Alan II: T=0, U=0, L=0
  [ÜSD000] Üniversite Seçmeli Ders Havuzu: T=0, U=0, L=0
  [ÜSD001] Üniversite Seçmeli Ders Havuzu I: T=0, U=0, L=0
  [ÜSD002] Üniversite Seçmeli Ders Havuzu II: T=0, U=0, L=0
